epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.749,0.60545,0.33902,0.78751,0.99845,0.99751,0.99483,0.87641,0.53855,0.32324,0.78345,0.0005941,0.0005941,0.0005941
43,114.04,0.58405,0.33136,0.78377,0.99846,0.99815,0.99487,0.88601,0.51549,0.31615,0.78491,0.0005842,0.0005842,0.0005842
44,116.453,0.63023,0.34177,0.78715,0.99825,0.9977,0.99484,0.87487,0.55782,0.3264,0.78292,0.0005743,0.0005743,0.0005743
45,118.713,0.6575,0.34847,0.78466,0.99829,0.99815,0.99479,0.88227,0.53143,0.32871,0.7821,0.0005644,0.0005644,0.0005644
46,121.158,0.6373,0.3457,0.78817,0.99836,0.99797,0.99485,0.88492,0.51411,0.3154,0.78324,0.0005545,0.0005545,0.0005545
47,123.602,0.62398,0.33842,0.78438,0.99838,0.99789,0.99489,0.88582,0.51599,0.31419,0.78332,0.0005446,0.0005446,0.0005446
48,125.938,0.59086,0.33182,0.78374,0.99821,0.99786,0.99491,0.88385,0.52536,0.31546,0.78255,0.0005347,0.0005347,0.0005347
49,128.242,0.58952,0.33031,0.7828,0.9985,0.99815,0.99494,0.8903,0.49793,0.31115,0.78281,0.0005248,0.0005248,0.0005248
50,130.583,0.58357,0.32578,0.78485,0.99838,0.99815,0.99495,0.89196,0.49929,0.31036,0.78328,0.0005149,0.0005149,0.0005149
51,132.964,0.56872,0.32319,0.78429,0.99834,0.99804,0.99495,0.88751,0.51156,0.30379,0.78517,0.000505,0.000505,0.000505
52,135.216,0.58995,0.32405,0.78327,0.9981,0.99792,0.99495,0.89117,0.4939,0.30632,0.78334,0.0004951,0.0004951,0.0004951
53,137.493,0.62273,0.33307,0.78279,0.99843,0.99815,0.99499,0.88454,0.51239,0.30728,0.78155,0.0004852,0.0004852,0.0004852
54,139.752,0.56325,0.31986,0.78448,0.99849,0.99813,0.99496,0.88754,0.51198,0.3049,0.7841,0.0004753,0.0004753,0.0004753
55,142,0.56995,0.31935,0.78589,0.99851,0.99759,0.99495,0.8935,0.4872,0.29766,0.78228,0.0004654,0.0004654,0.0004654
56,144.483,0.58529,0.3146,0.78672,0.99863,0.99756,0.99495,0.89575,0.49059,0.29516,0.78232,0.0004555,0.0004555,0.0004555
57,146.888,0.58149,0.31785,0.78208,0.99842,0.99792,0.99492,0.89548,0.48992,0.2962,0.78404,0.0004456,0.0004456,0.0004456
58,149.183,0.57707,0.31621,0.78249,0.99853,0.99798,0.99498,0.88453,0.53409,0.31335,0.78195,0.0004357,0.0004357,0.0004357
59,151.428,0.57881,0.31727,0.78336,0.99854,0.99801,0.995,0.89954,0.47326,0.29429,0.78346,0.0004258,0.0004258,0.0004258
